hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,43,2017,June,23,9,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,140.0,0,1,Check-Out,2017-06-11
City Hotel,1,28,2017,March,9,2,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0,Canceled,2017-02-02
City Hotel,0,45,2016,June,25,17,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,65.0,0,1,Check-Out,2016-06-20
Resort Hotel,0,1,2016,December,51,13,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,240.0,,0,Transient,43.0,0,1,Check-Out,2016-12-15
Resort Hotel,1,339,2016,September,40,26,3,6,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,15.0,,0,Transient,80.0,0,0,Canceled,2016-01-22
Resort Hotel,0,10,2016,January,5,28,2,3,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115.0,,0,Transient,22.5,0,0,Check-Out,2016-02-02
City Hotel,1,29,2017,February,5,3,1,2,2,1.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.2,0,0,Canceled,2017-01-23
City Hotel,1,118,2017,May,18,3,1,4,1,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,118.8,0,1,Canceled,2017-01-24
Resort Hotel,1,30,2017,June,24,16,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0,Canceled,2017-05-22
Resort Hotel,0,143,2016,June,23,2,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,72.0,0,1,Check-Out,2016-06-06
Resort Hotel,0,189,2016,August,33,10,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,140.0,1,0,Check-Out,2016-08-17
City Hotel,0,12,2016,May,22,23,1,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,119.0,0,1,Check-Out,2016-05-26
Resort Hotel,1,181,2016,August,33,8,4,10,3,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,69.0,,0,Transient,196.7,0,1,Canceled,2016-02-10
Resort Hotel,0,6,2015,November,45,3,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,35.1,0,1,Check-Out,2015-11-05
Resort Hotel,0,1,2017,March,11,14,0,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,65.0,0,1,Check-Out,2017-03-16
Resort Hotel,0,121,2017,January,1,6,0,2,2,2.0,0,HB,DEU,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,136.0,1,0,Check-Out,2017-01-08
Resort Hotel,0,54,2017,May,21,22,1,2,2,2.0,0,HB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,217.0,0,0,Check-Out,2017-05-25
City Hotel,1,75,2016,May,22,26,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,0,Canceled,2016-05-21
Resort Hotel,0,30,2016,February,8,17,0,3,2,0.0,0,BB,OMN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,48.0,0,1,Check-Out,2016-02-20
City Hotel,0,8,2017,May,21,21,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,163.33,0,1,Check-Out,2017-05-24
City Hotel,1,38,2016,April,17,21,1,3,2,1.0,0,BB,CHL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,118.8,0,0,Canceled,2016-04-19
Resort Hotel,1,0,2017,February,5,4,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,48.0,0,2,Canceled,2017-02-04
Resort Hotel,0,364,2016,October,42,12,1,4,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,1,No Deposit,,223.0,0,Transient-Party,72.0,0,0,Check-Out,2016-10-17
City Hotel,0,2,2016,August,32,3,0,4,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,,0,Transient,109.0,0,0,Check-Out,2016-08-07
Resort Hotel,1,11,2017,May,22,28,2,2,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,2,No Deposit,250.0,,0,Transient,146.25,0,4,Canceled,2017-05-26
City Hotel,1,56,2016,June,24,8,0,1,2,0.0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,191.0,,0,Transient-Party,120.0,0,0,Canceled,2016-06-02
City Hotel,1,133,2017,July,27,7,0,2,1,1.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,167.4,0,1,Canceled,2017-03-06
Resort Hotel,0,1,2017,January,4,22,1,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,,,0,Transient,48.0,0,0,Check-Out,2017-01-23
Resort Hotel,0,136,2016,June,27,26,2,5,3,0.0,0,BB,IRL,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,153.24,0,2,Check-Out,2016-07-03
Resort Hotel,0,3,2017,February,6,10,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,68.0,0,2,Check-Out,2017-02-11
Resort Hotel,0,1,2015,November,45,7,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,58.0,0,1,Check-Out,2015-11-08
City Hotel,0,182,2016,September,40,30,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.9,0,2,Check-Out,2016-10-02
City Hotel,1,420,2016,September,36,3,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,35.0,,0,Transient,75.0,0,0,Canceled,2015-10-12
City Hotel,0,33,2016,November,46,12,2,2,2,0.0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,138.0,,0,Transient,78.2,0,1,Check-Out,2016-11-16
City Hotel,1,36,2016,October,43,16,1,0,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1,Canceled,2016-09-29
City Hotel,1,66,2017,August,32,8,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,,0,Transient,80.1,0,0,Canceled,2017-06-03
City Hotel,0,85,2016,March,14,28,1,5,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,72.25,0,1,Check-Out,2016-04-03
Resort Hotel,0,96,2017,March,12,19,2,5,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,177.0,,0,Transient-Party,34.0,0,0,Check-Out,2017-03-26
Resort Hotel,0,19,2015,September,36,1,0,2,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,E,F,0,No Deposit,,,0,Transient,176.0,1,3,Check-Out,2015-09-03
City Hotel,0,7,2017,March,13,28,0,2,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,441.0,,0,Transient,103.0,0,0,Check-Out,2017-03-30
City Hotel,0,0,2017,March,12,24,0,1,2,0.0,0,SC,GBR,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,9.0,,0,Group,98.0,0,2,Check-Out,2017-03-25
City Hotel,0,14,2016,April,18,29,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,8.0,,0,Transient,141.0,0,1,Check-Out,2016-04-30
Resort Hotel,0,57,2016,March,10,3,2,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,2.0,,0,Contract,39.0,0,0,Check-Out,2016-03-13
City Hotel,0,15,2016,January,5,26,0,2,1,0.0,0,BB,ITA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,91.0,,0,Transient,80.0,0,0,Check-Out,2016-01-28
City Hotel,1,275,2016,June,23,4,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,5.0,,69,Transient,62.8,0,0,Canceled,2015-11-11
City Hotel,0,19,2016,August,33,11,3,8,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,149.0,0,0,Check-Out,2016-08-22
City Hotel,1,212,2017,June,22,2,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,20.0,,0,Transient-Party,105.0,0,0,Canceled,2017-04-21
City Hotel,0,3,2017,June,24,11,2,1,1,0.0,0,BB,PRT,Aviation,Corporate,1,0,2,A,A,0,No Deposit,,153.0,0,Transient,95.0,0,0,Check-Out,2017-06-14
Resort Hotel,0,3,2017,April,14,2,2,0,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,241.0,,0,Transient,140.6,1,1,Check-Out,2017-04-04
City Hotel,1,23,2016,October,45,30,1,0,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,130.0,0,0,Canceled,2016-10-27
Resort Hotel,0,51,2015,August,34,21,2,4,3,0.0,0,HB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,248.0,0,1,Check-Out,2015-08-27
City Hotel,1,262,2015,July,28,6,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
Resort Hotel,0,12,2016,April,18,27,0,3,2,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,A,1,No Deposit,385.0,,0,Transient-Party,85.33,0,0,Check-Out,2016-04-30
City Hotel,0,26,2017,April,17,26,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,87.0,,0,Transient-Party,139.0,0,0,Check-Out,2017-04-28
City Hotel,1,166,2017,July,29,21,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,122.7,0,0,Canceled,2017-04-22
City Hotel,0,30,2015,August,32,8,2,1,2,0.0,0,HB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,86.0,0,0,Check-Out,2015-08-11
City Hotel,0,41,2017,January,1,3,0,3,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,7.0,,0,Group,79.23,0,2,Check-Out,2017-01-06
City Hotel,0,224,2016,August,33,8,1,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,16.0,,0,Transient,102.25,0,0,Check-Out,2016-08-11
City Hotel,0,20,2017,January,2,9,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.88,1,1,Check-Out,2017-01-13
Resort Hotel,1,12,2017,May,22,28,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,145.0,0,4,Canceled,2017-05-23
Resort Hotel,1,47,2016,August,35,24,0,4,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,219.0,0,0,Canceled,2016-07-09
City Hotel,0,135,2015,August,31,1,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,76.5,0,3,Check-Out,2015-08-06
Resort Hotel,0,33,2017,February,7,12,2,2,2,2.0,0,BB,GBR,Direct,Direct,0,0,0,C,C,0,No Deposit,250.0,,0,Transient,59.0,0,0,Check-Out,2017-02-16
City Hotel,0,65,2016,December,50,7,0,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,126.0,0,1,Check-Out,2016-12-09
Resort Hotel,0,0,2015,December,52,25,0,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,65.0,0,0,Check-Out,2015-12-26
City Hotel,0,0,2017,August,32,12,0,1,2,0.0,0,HB,FRA,Direct,Direct,1,0,0,D,D,1,No Deposit,14.0,,0,Transient,240.0,0,2,Check-Out,2017-08-13
City Hotel,0,10,2015,September,36,5,2,4,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,110.08,0,1,Check-Out,2015-09-11
Resort Hotel,0,150,2017,February,9,26,12,30,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,39.41,0,2,Check-Out,2017-04-09
Resort Hotel,1,34,2017,August,32,8,0,4,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,216.0,0,0,Canceled,2017-07-10
Resort Hotel,0,1,2016,March,11,7,1,0,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,5,D,D,0,No Deposit,240.0,,0,Transient,58.0,0,1,Check-Out,2016-03-08
Resort Hotel,0,89,2016,August,32,6,2,5,2,0.0,0,HB,URY,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,235.29,0,1,Check-Out,2016-08-13
Resort Hotel,0,2,2017,March,10,9,0,3,1,0.0,0,BB,PRT,Direct,TA/TO,0,0,0,A,B,3,No Deposit,,,0,Transient,65.0,0,1,Check-Out,2017-03-12
Resort Hotel,0,133,2016,August,32,4,3,8,2,0.0,1,BB,NLD,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient-Party,212.8,0,1,Check-Out,2016-08-15
Resort Hotel,0,189,2016,September,38,11,2,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,119.0,0,1,Check-Out,2016-09-15
City Hotel,0,207,2016,July,31,28,2,4,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.75,0,1,Check-Out,2016-08-03
Resort Hotel,1,13,2016,November,45,3,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,368.0,,0,Transient-Party,38.0,0,0,Canceled,2016-10-21
Resort Hotel,0,0,2017,January,3,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,45.0,0,0,Check-Out,2017-01-21
Resort Hotel,0,25,2017,June,24,15,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,G,0,No Deposit,250.0,,0,Transient,205.67,1,0,Check-Out,2017-06-18
Resort Hotel,0,76,2017,August,31,1,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,242.0,,0,Transient,250.0,0,2,Check-Out,2017-08-03
City Hotel,1,265,2016,April,17,20,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,,0,Transient,101.0,0,0,Canceled,2015-07-30
City Hotel,0,86,2016,June,27,26,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,7,A,A,0,No Deposit,,40.0,0,Transient-Party,65.0,0,0,Check-Out,2016-06-27
City Hotel,1,240,2016,October,43,21,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,110.0,0,0,Canceled,2016-03-15
Resort Hotel,0,45,2017,March,11,18,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,314.0,,0,Transient,50.0,0,0,Check-Out,2017-03-25
City Hotel,1,251,2016,March,13,22,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,93,Transient,125.0,0,0,Canceled,2015-10-16
City Hotel,1,163,2016,June,26,25,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,96.0,0,0,Canceled,2016-02-09
Resort Hotel,0,268,2016,June,25,15,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,241.0,,0,Transient,57.15,1,1,Check-Out,2016-06-22
City Hotel,0,0,2015,August,33,9,2,0,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,105.0,0,0,Check-Out,2015-08-11
City Hotel,1,129,2016,August,32,6,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.3,0,0,Canceled,2016-03-31
Resort Hotel,0,61,2016,October,44,23,1,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient,59.0,0,0,Check-Out,2016-10-24
City Hotel,1,180,2016,April,16,13,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,21.0,,38,Transient,125.0,0,0,Canceled,2015-11-23
City Hotel,0,115,2016,August,34,20,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,72.25,0,0,Check-Out,2016-08-24
City Hotel,1,364,2015,October,42,16,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
City Hotel,1,143,2017,May,18,4,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,151.0,,0,Transient,100.0,0,0,Canceled,2016-12-12
City Hotel,0,151,2016,June,23,3,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,77.23,0,1,Check-Out,2016-06-07
City Hotel,0,14,2015,September,36,2,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,10.0,,0,Transient,94.5,0,1,Check-Out,2015-09-03
City Hotel,1,158,2016,May,22,24,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,31,Transient,130.0,0,0,Canceled,2016-01-18
City Hotel,0,104,2016,December,53,25,2,1,0,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,B,A,0,No Deposit,9.0,,0,Transient,91.6,0,2,Check-Out,2016-12-28
City Hotel,1,172,2017,March,12,21,0,4,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.7,0,1,Canceled,2016-11-22
City Hotel,1,149,2016,July,29,10,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,72.25,0,0,Canceled,2016-02-23
Resort Hotel,0,3,2017,January,4,27,1,2,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,31.45,0,1,Check-Out,2017-01-30
City Hotel,0,89,2017,August,32,12,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,D,5,No Deposit,9.0,,0,Transient,125.0,0,2,Check-Out,2017-08-16
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-04-04
City Hotel,1,192,2017,June,23,8,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,11,Transient,100.0,0,0,Canceled,2017-01-24
City Hotel,1,137,2016,January,5,27,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,45,Transient,70.0,0,0,Canceled,2015-10-27
City Hotel,1,15,2016,July,30,19,0,4,3,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,,0,Transient,202.58,0,1,Canceled,2016-07-13
City Hotel,1,353,2015,October,41,5,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,156,2016,August,35,21,2,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,103.5,1,0,Check-Out,2016-08-24
Resort Hotel,0,2,2016,June,23,1,0,2,3,1.0,0,BB,SAU,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,171.0,1,0,Check-Out,2016-06-03
City Hotel,0,64,2017,June,23,5,1,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,0,Check-Out,2017-06-09
Resort Hotel,0,19,2016,November,47,15,0,4,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,30.6,0,0,Check-Out,2016-11-19
City Hotel,0,44,2017,January,1,1,1,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,65.0,0,0,Check-Out,2017-01-02
Resort Hotel,0,45,2016,November,45,5,2,1,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,6.0,,0,Transient,36.5,0,0,Check-Out,2016-11-08
City Hotel,1,43,2016,August,36,29,1,2,3,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,144.9,0,0,Canceled,2016-08-08
Resort Hotel,0,291,2016,June,24,8,0,4,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,241.0,,0,Transient,55.44,0,1,Check-Out,2016-06-12
City Hotel,1,116,2017,June,25,22,0,3,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,186.3,0,1,Canceled,2017-03-16
City Hotel,0,396,2017,June,26,25,1,0,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,6.0,,0,Transient-Party,95.5,0,1,Check-Out,2017-06-26
City Hotel,0,6,2017,February,8,23,0,1,1,0.0,0,BB,FRA,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,227.0,0,Transient,80.0,0,0,Check-Out,2017-02-24
City Hotel,1,162,2017,August,34,26,2,3,2,2.0,0,BB,USA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,235.0,0,0,Canceled,2017-03-27
City Hotel,1,99,2015,October,44,30,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,65.0,0,0,Canceled,2015-10-12
City Hotel,0,322,2017,May,18,5,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,75.0,0,0,Check-Out,2017-05-06
City Hotel,0,0,2017,May,18,1,1,0,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,139.5,0,2,Check-Out,2017-05-02
City Hotel,0,12,2017,June,23,4,2,1,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,153.33,0,1,Check-Out,2017-06-07
City Hotel,1,178,2016,April,18,28,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,46,Transient,120.0,0,0,Canceled,2015-12-18
Resort Hotel,0,25,2016,December,49,2,0,2,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-12-04
City Hotel,1,17,2017,June,23,6,0,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.0,0,1,Canceled,2017-05-29
Resort Hotel,0,95,2017,May,22,28,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,26.0,,0,Transient,92.0,0,0,Check-Out,2017-06-01
City Hotel,1,280,2016,September,39,19,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,35,Transient,100.0,0,0,Canceled,2016-01-18
Resort Hotel,0,85,2017,May,20,14,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,80.85,0,0,Check-Out,2017-05-21
City Hotel,0,57,2017,May,19,9,0,4,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0,0,Check-Out,2017-05-13
City Hotel,1,53,2016,August,35,27,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,157.0,,0,Transient,77.04,0,0,Canceled,2016-07-06
City Hotel,1,247,2016,October,44,28,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,110.0,0,0,Canceled,2016-03-15
City Hotel,1,42,2017,January,1,6,2,2,2,2.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,F,F,1,No Deposit,15.0,,0,Transient,118.32,0,0,Canceled,2016-12-19
City Hotel,0,131,2016,October,42,10,1,1,1,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,103.05,0,1,Check-Out,2016-10-12
Resort Hotel,0,20,2016,December,49,1,0,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient-Party,61.0,1,1,Check-Out,2016-12-03
Resort Hotel,1,60,2017,January,4,28,2,5,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,E,E,2,No Deposit,250.0,,0,Transient,61.8,0,0,Canceled,2016-12-05
City Hotel,1,361,2016,November,45,4,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,1,1,0,A,A,0,No Deposit,9.0,,0,Group,91.0,0,0,Canceled,2015-11-09
City Hotel,0,4,2017,August,34,20,1,0,1,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,119.0,0,0,Check-Out,2017-08-21
City Hotel,0,62,2016,November,46,6,2,2,1,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.63,0,1,Check-Out,2016-11-10
